City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Flinders,AU,2022-01-30 01:05:23,-34.5833,150.8552,86.81,71,97,8.46
68,Vardo,NO,2022-01-30 01:05:23,70.3705,31.1107,22.71,79,96,1.77
69,Shimoda,JP,2022-01-30 01:05:23,34.6667,138.95,44.71,55,100,12.12
70,Denia,ES,2022-01-30 01:05:24,38.8408,0.1057,53.33,82,0,1.99
71,Sao Gabriel Da Cachoeira,BR,2022-01-30 01:05:24,-0.1303,-67.0892,76.87,86,100,2.51
72,Deming,US,2022-01-30 01:05:24,32.2687,-107.7586,49.24,29,0,5.75
73,Namatanai,PG,2022-01-30 01:05:25,-3.6667,152.4333,83.44,73,100,5.17
74,Esso,RU,2022-01-30 01:05:25,55.9333,158.7,22.75,87,100,3.44
75,Mocuba,MZ,2022-01-30 01:05:25,-16.8392,36.9856,70.39,98,15,2.86
76,Pakokku,MM,2022-01-30 01:05:26,21.3333,95.1,61.11,61,0,2.42
77,Ribeira Grande,PT,2022-01-30 01:05:26,38.5167,-28.7,58.68,75,98,4.65
78,Praia,CV,2022-01-30 01:03:14,14.9215,-23.5087,70.34,68,75,16.11
79,Omboue,GA,2022-01-30 01:05:27,-1.5746,9.2618,77.95,90,100,5.28
80,Gornopravdinsk,RU,2022-01-30 01:05:27,60.05,69.9,7.11,95,100,5.03
81,Puerto El Triunfo,SV,2022-01-30 01:05:27,13.2833,-88.55,78.96,67,52,6.08
82,Tasiilaq,GL,2022-01-30 01:05:28,65.6145,-37.6368,17.76,75,100,7.56
83,Semey,KZ,2022-01-30 01:05:28,50.4111,80.2275,14.22,90,100,16.33
84,Tres Arroyos,AR,2022-01-30 01:04:56,-38.3739,-60.2798,75.4,53,50,19.13
85,Yellowknife,CA,2022-01-30 01:00:56,62.456,-114.3525,-18.9,93,62,6.44
86,Antalaha,MG,2022-01-30 01:05:29,-14.9003,50.2788,71.71,89,100,5.28
87,Brigantine,US,2022-01-30 01:05:29,39.4101,-74.3646,21.25,61,0,20.71
88,Khatanga,RU,2022-01-30 01:05:29,71.9667,102.5,-6.61,97,97,8.03
89,Saint-Pierre,RE,2022-01-30 01:05:30,-21.3393,55.4781,76.68,73,15,6.91
90,Longyearbyen,SJ,2022-01-30 01:02:00,78.2186,15.6401,6.64,66,0,17.27
91,Bengkulu,ID,2022-01-30 01:06:30,-3.8004,102.2655,77.97,87,100,3.8
92,Lashio,MM,2022-01-30 01:06:30,22.9333,97.75,46.83,78,0,0.58
93,Vila Franca Do Campo,PT,2022-01-30 01:03:18,37.7167,-25.4333,57.61,72,82,9.93
94,Grindavik,IS,2022-01-30 01:06:31,63.8424,-22.4338,36.07,75,75,13.8
95,Airai,TL,2022-01-30 01:06:31,-8.9266,125.4092,66.16,80,100,4.38
96,Oranjestad,AW,2022-01-30 01:06:32,12.524,-70.027,78.3,77,21,13.02
97,Taoudenni,ML,2022-01-30 01:06:32,22.6783,-3.9836,72.5,12,100,13.09
98,Butaritari,KI,2022-01-30 01:06:32,3.0707,172.7902,82.56,72,78,18.01
99,Hithadhoo,MV,2022-01-30 01:06:03,-0.6,73.0833,80.76,68,78,2.55
100,Blythe,US,2022-01-30 01:06:33,33.6103,-114.5964,66.65,8,0,11.5
101,Turukhansk,RU,2022-01-30 01:06:33,65.8167,87.9833,1.27,96,100,9.1
102,College,US,2022-01-30 01:06:33,64.8569,-147.8028,-6.14,73,20,0.0
103,Spokoynaya,RU,2022-01-30 01:06:34,44.2468,41.4015,19.67,82,25,5.46
104,Meiganga,CM,2022-01-30 01:06:34,6.5167,14.3,64.2,23,100,7.07
105,Nuevitas,CU,2022-01-30 01:06:34,21.5453,-77.2644,65.64,71,100,15.28
106,Atuona,PF,2022-01-30 01:06:35,-9.8,-139.0333,77.77,79,22,12.01
107,La Ronge,CA,2022-01-30 01:02:49,55.1001,-105.2842,-4.9,100,99,3.33
108,Viedma,AR,2022-01-30 01:06:35,-40.8135,-62.9967,78.01,51,11,9.31
109,Soubre,CI,2022-01-30 01:06:36,5.7856,-6.6083,72.28,91,59,1.77
110,Darnah,LY,2022-01-30 01:03:29,32.767,22.6367,52.45,83,100,35.68
111,Teguldet,RU,2022-01-30 01:06:36,57.3064,88.1667,-3.73,100,85,2.64
112,Anaco,VE,2022-01-30 01:06:36,9.4389,-64.4728,72.23,78,9,1.88
113,Hualmay,PE,2022-01-30 01:05:27,-11.0964,-77.6139,70.27,83,35,9.46
114,Bredasdorp,ZA,2022-01-30 01:06:37,-34.5322,20.0403,65.28,84,5,5.26
115,San-Pedro,CI,2022-01-30 01:06:37,4.7485,-6.6363,77.85,90,48,2.13
116,Saint-Philippe,RE,2022-01-30 01:06:37,-21.3585,55.7679,76.59,83,75,10.29
117,Binghamton,US,2022-01-30 01:03:34,42.0987,-75.918,9.93,77,75,7.0
118,Bardsir,IR,2022-01-30 01:06:38,29.9227,56.5743,42.87,64,28,14.32
119,Constitucion,CL,2022-01-30 01:01:53,-35.3333,-72.4167,58.39,93,45,8.39
120,Oksfjord,NO,2022-01-30 01:06:38,70.2396,22.3479,25.72,85,71,3.76
121,Hobart,AU,2022-01-30 01:06:39,-42.8794,147.3294,77.02,52,20,1.01
122,Muros,ES,2022-01-30 01:05:36,42.7762,-9.0603,51.84,80,11,4.74
123,Baiao,BR,2022-01-30 01:06:39,-2.7906,-49.6717,71.74,99,100,2.3
124,San Policarpo,PH,2022-01-30 01:06:40,12.1791,125.5072,80.04,84,10,4.65
125,Verkhnechusovskiye Gorodki,RU,2022-01-30 01:06:40,58.1671,57.1086,1.15,97,100,3.13
126,Huambo,AO,2022-01-30 01:06:40,-12.7761,15.7392,59.52,98,100,3.24
127,Chitapur,IN,2022-01-30 01:06:41,17.1167,77.0833,61.57,28,95,4.72
128,Flin Flon,CA,2022-01-30 01:05:07,54.7682,-101.865,-7.4,100,77,1.95
129,Mahebourg,MU,2022-01-30 01:06:41,-20.4081,57.7,76.24,74,100,12.26
130,Tuatapere,NZ,2022-01-30 01:06:41,-46.1333,167.6833,61.56,83,100,4.76
131,Ponta Do Sol,PT,2022-01-30 01:04:18,32.6667,-17.1,63.23,40,15,6.02
132,Mana,GF,2022-01-30 01:06:42,5.6592,-53.7767,75.85,86,6,7.14
133,Lavrentiya,RU,2022-01-30 01:06:42,65.5833,-171.0,-2.2,86,3,3.51
134,Guasdualito,VE,2022-01-30 01:06:42,7.2424,-70.7324,81.81,44,6,4.52
135,Igrim,RU,2022-01-30 01:06:43,63.1906,64.4162,1.65,95,100,5.1
136,Byron Bay,AU,2022-01-30 01:06:43,-28.65,153.6167,86.05,82,94,10.07
137,Tiarei,PF,2022-01-30 01:07:43,-17.5333,-149.3333,82.0,75,71,9.6
138,Brewster,US,2022-01-30 01:04:20,41.3973,-73.6171,18.55,58,100,3.0
139,Liverpool,GB,2022-01-30 01:07:30,53.4106,-2.9779,44.74,78,100,5.99
140,Avarua,CK,2022-01-30 01:06:59,-21.2078,-159.775,84.25,79,20,11.5
141,Yulara,AU,2022-01-30 01:07:44,-25.2406,130.9889,78.64,83,100,13.8
142,Alofi,NU,2022-01-30 01:04:17,-19.0595,-169.9187,81.84,71,100,7.9
143,Lebu,CL,2022-01-30 01:07:44,-37.6167,-73.65,58.41,88,0,9.04
144,San Patricio,US,2022-01-30 01:07:45,28.017,-97.5169,55.83,46,17,10.09
145,Kanniyakumari,IN,2022-01-30 01:07:45,8.0833,77.5667,77.52,80,45,17.18
146,Satellite Beach,US,2022-01-30 01:07:45,28.1761,-80.5901,46.0,55,0,5.99
147,Port Hardy,CA,2022-01-30 01:04:03,50.6996,-127.4199,47.75,94,100,18.07
148,Vangaindrano,MG,2022-01-30 01:07:46,-23.35,47.6,73.04,85,0,5.06
149,Atbasar,KZ,2022-01-30 01:07:46,51.8,68.3333,18.03,94,100,11.34
150,Castro,BR,2022-01-30 01:07:47,-24.7911,-50.0119,59.86,99,100,6.51
151,Bathsheba,BB,2022-01-30 01:07:47,13.2167,-59.5167,76.57,76,8,16.37
152,Severo-Kurilsk,RU,2022-01-30 01:07:47,50.6789,156.125,24.85,84,100,16.73
153,Marsa Matruh,EG,2022-01-30 01:07:47,31.3525,27.2453,52.83,57,99,20.15
154,Dosso,NE,2022-01-30 01:07:48,13.049,3.1937,69.17,14,50,14.07
155,Cidreira,BR,2022-01-30 01:07:48,-30.1811,-50.2056,71.58,65,12,11.41
156,Nanortalik,GL,2022-01-30 01:07:49,60.1432,-45.2371,20.68,69,100,27.87
157,Smithers,CA,2022-01-30 01:07:49,54.7804,-127.1743,37.72,87,75,3.44
158,Kimberley,ZA,2022-01-30 01:07:49,-28.7323,24.7623,70.79,60,1,12.44
159,Torbay,CA,2022-01-30 01:03:18,47.6666,-52.7314,39.58,96,100,31.07
160,Eirunepe,BR,2022-01-30 01:07:50,-6.6603,-69.8736,76.91,84,100,0.76
161,Arlit,NE,2022-01-30 01:07:50,18.7369,7.3853,61.45,16,1,7.36
162,Novyy Urengoy,RU,2022-01-30 01:07:50,66.0833,76.6333,-7.53,96,97,8.7
163,Pombal,BR,2022-01-30 01:07:51,-6.7703,-37.8017,72.43,89,100,2.91
164,Brae,GB,2022-01-30 01:07:51,60.3964,-1.353,39.11,61,78,28.68
165,Deputatskiy,RU,2022-01-30 01:07:51,69.3,139.9,-19.79,96,99,2.15
166,Codrington,AU,2022-01-30 01:07:52,-38.2667,141.9667,71.76,74,100,8.05
167,Kaniama,CD,2022-01-30 01:07:52,-7.5667,24.1833,65.93,96,100,1.23
168,Clarksville,US,2022-01-30 01:06:12,36.5298,-87.3595,32.18,42,0,4.61
169,Ulladulla,AU,2022-01-30 01:07:53,-35.35,150.4667,82.87,64,57,8.05
170,Malanje,AO,2022-01-30 01:07:53,-9.5402,16.341,63.77,98,100,4.07
171,Tecoanapa,MX,2022-01-30 01:05:54,16.5167,-98.75,79.95,74,0,7.11
172,Honiara,SB,2022-01-30 01:07:53,-9.4333,159.95,85.89,68,100,5.37
173,Bogorodskoye,RU,2022-01-30 01:07:54,56.55,37.8833,6.82,99,97,4.74
174,Bilma,NE,2022-01-30 01:07:54,18.6853,12.9164,56.32,21,0,12.57
175,Koslan,RU,2022-01-30 01:07:54,63.4564,48.8989,14.56,94,100,6.55
176,Hami,CN,2022-01-30 01:07:55,42.8,93.45,19.99,42,4,3.87
177,Tual,ID,2022-01-30 01:07:55,-5.6667,132.75,83.73,73,100,15.88
178,Roald,NO,2022-01-30 01:07:55,62.5833,6.1333,42.33,70,40,26.46
179,Sistranda,NO,2022-01-30 01:07:56,63.7256,8.834,40.96,88,88,40.35
180,Srednekolymsk,RU,2022-01-30 01:07:56,67.45,153.6833,-25.04,100,60,4.03
181,Mount Gambier,AU,2022-01-30 01:06:52,-37.8333,140.7667,69.71,73,100,8.05
182,Minggang,CN,2022-01-30 01:07:56,32.4586,114.0486,34.45,67,1,2.33
183,Ponazyrevo,RU,2022-01-30 01:07:57,58.3578,46.3142,10.63,97,94,4.5
184,Vestmannaeyjar,IS,2022-01-30 01:07:57,63.4427,-20.2734,41.0,65,100,18.72
185,Crotone,IT,2022-01-30 01:08:57,39.0851,17.1178,46.74,58,6,19.69
186,Puerto Colombia,CO,2022-01-30 01:08:58,10.9878,-74.9547,78.89,77,27,19.01
187,Shenzhen,CN,2022-01-30 01:08:58,22.5455,114.0683,56.07,88,40,10.67
188,Smoljan,ME,2022-01-30 01:08:58,43.0924,19.2286,12.24,65,24,0.65
189,Abalak,RU,2022-01-30 01:08:59,58.1286,68.5944,8.82,90,100,6.06
190,Yelizovo,RU,2022-01-30 01:08:59,53.1873,158.3805,26.74,79,75,4.0
191,Honggang,CN,2022-01-30 01:08:59,46.4667,124.8667,2.19,83,5,5.99
192,Bubaque,GW,2022-01-30 01:09:00,11.2833,-15.8333,78.62,66,55,14.34
193,Fairbanks,US,2022-01-30 01:06:41,64.8378,-147.7164,-13.0,74,0,0.0
194,Victoria,HK,2022-01-30 01:05:49,22.2855,114.1577,56.17,80,51,3.0
195,Sobolevo,RU,2022-01-30 01:09:00,54.4299,31.8996,23.05,92,100,17.54
196,Geraldton,AU,2022-01-30 01:09:01,-28.7667,114.6,82.81,54,0,12.66
197,Kampot,KH,2022-01-30 01:09:01,10.6167,104.1833,77.05,73,41,2.21
198,Kalmunai,LK,2022-01-30 01:09:01,7.4167,81.8167,75.79,87,23,1.95
199,Bodrum,TR,2022-01-30 01:08:25,37.0383,27.4292,49.48,76,100,17.09
200,Selaru,RO,2022-01-30 01:09:02,44.4667,25.3,27.68,73,49,10.54
201,Ballina,AU,2022-01-30 01:09:02,-28.8667,153.5667,82.58,78,82,10.71
202,Kislovodsk,RU,2022-01-30 01:09:03,43.9133,42.7208,17.24,70,15,7.94
203,Chongqing,CN,2022-01-30 01:05:09,29.5628,106.5528,47.23,79,57,1.99
204,Yerbogachen,RU,2022-01-30 01:06:01,61.2767,108.0108,-10.57,99,100,3.18
205,North Platte,US,2022-01-30 01:09:03,41.1239,-100.7654,48.38,26,0,1.01
206,Caraballeda,VE,2022-01-30 01:09:04,10.6112,-66.8522,82.47,69,20,0.0
207,Dunedin,NZ,2022-01-30 01:09:04,-45.8742,170.5036,58.03,92,100,4.65
208,Rondonopolis,BR,2022-01-30 01:04:46,-16.4708,-54.6356,72.84,98,100,2.66
209,Belaya Gora,RU,2022-01-30 01:09:04,68.5333,146.4167,-18.63,100,93,2.55
210,Salobrena,ES,2022-01-30 01:09:05,36.7428,-3.5872,59.02,27,0,9.69
211,Nantucket,US,2022-01-30 01:06:28,41.2835,-70.0995,21.31,86,100,24.16
212,Bonthe,SL,2022-01-30 01:09:05,7.5264,-12.505,77.02,84,91,2.08
